"Countries","Gov. Health Exp.($M)"
"United States ","3,590,550,278,000.00"
"United Kingdom ","87,073,157,032.30"
"Germany ","445,746,483,000.00"
"France ","279,900,617,256.00"
"Japan ","213,703,956,338.90"
"Spain ","102,948,722,604.00"
"Italy ","137,273,292,000.00"
"Portugal ","16,979,908,257.00"
"Greece ","11,139,142,599.00"
"Ireland ","24,853,480,938.00"
"Andorra ","151.5"
"United Arab Emirates ","9,371.70"
"Afghanistan ","113.3"
"Antigua and Barbuda ","31.3"
"Albania ","558.3"
"Armenia ","158.2"
"Angola ","1,576.40"
"Argentina ","42,552.40"
"Austria ","41,653,824,264.00"
"Australia ","88,877.70"
"Azerbaijan ","415.8"
"Bosnia and Herzegovina ","1,153.70"
"Barbados ","149.2"
"Bangladesh ","1,115.20"
"Belgium ","48,506,292,315.00"
"Burkina Faso ","424.4"
"Bulgaria ","2,481.40"
"Bahrain ","976.6"
"Burundi ","58.9"
"Benin ","141.6"
"Brunei ","272.9"
"Bolivia ","1,668.20"
"Brazil ","81,392.20"
"Bahamas ","312.2"
"Bhutan ","54.5"
"Botswana ","747.5"
"Belarus ","2,268.80"
"Belize ","87.7"
"Canada ","38,068,700,694.90"
"Democratic Republic of the Congo ","156.2"
"Central African Republic ","15.5"
"Republic of the Congo ","132.4"
"Switzerland ","15,850,409,821.90"
"Côte d'Ivoire ","664"
"Chile ","14,900.70"
"Cameroon ","224.5"
"China ","352,140.80"
"Colombia ","21,101,650,523.00"
"Costa Rica ","3,660,044,430.10"
"Cuba ","10,145.00"
"Cabo Verde ","55.1"
"Cyprus ","2,284,279,789.70"
"Czechia ","3,344,446,564.70"
"Djibouti ","43.1"
"Denmark ","10,830,348,081.40"
"Dominica ","19.9"
"Dominican Republic ","2,260.60"
"Algeria ","7,041.90"
"Ecuador ","4,549.00"
"Estonia ","1,999,331,100.00"
"Egypt ","4,306.30"
"Eritrea ","14.9"
"Ethiopia ","671.4"
"Finland ","22,684,607,361.00"
"Fiji ","124.1"
"Federated States of Micronesia ","11.7"
"Gabon ","262.6"
"Grenada ","22.9"
"Georgia ","459.5"
"Ghana ","659.4"
"The Gambia ","11.3"
"Guinea ","73.1"
"Equatorial Guinea ","71.4"
"Guatemala ","1,492.60"
"Guinea-Bissau ","8.7"
"Guyana ","140.6"
"Honduras ","728.9"
"Croatia ","4,768,798,644.20"
"Haiti ","143.2"
"Hungary ","7,095.30"
"Indonesia ","14,680.10"
"Israel ","5,681,359,587.60"
"India ","25,437.80"
"Iraq ","3,354.80"
"Iran ","21,604.70"
"Iceland ","1,786.30"
"Jamaica ","571.7"
"Jordan ","1,515.60"
"Kenya ","1,683.90"
"Kyrgyzstan ","180.8"
"Cambodia ","312.6"
"Kiribati ","15.3"
"Comoros ","10.1"
"Saint Kitts and Nevis ","24.9"
"North Korea ","307.2"
"South Korea ","7,350,863,487.90"
"Kuwait ","5,580.40"
"Kazakhstan ","3,236.50"
"Laos ","151.5"
"Lebanon ","2,173.90"
"Saint Lucia ","44.4"
"Sri Lanka ","1,544.90"
"Liberia ","46.6"
"Lesotho ","133.7"
"Lithuania ","3,597,738,768.00"
"Luxembourg ","3,854,801,340.00"
"Latvia ","2,433,529,332.00"
"Libya ","1,844.60"
"Morocco ","2,667.70"
"Monaco ","90.9"
"Moldova ","337.9"
"Montenegro ","281.9"
"Madagascar ","339.9"
"Marshall Islands ","13.2"
"North Macedonia ","538"
"Mali ","203.6"
"Myanmar ","421.1"
"Mongolia ","283.5"
"Mauritania ","116.6"
"Malta ","1,078,446,964.80"
"Mauritius ","336.2"
"Maldives ","306.3"
"Malawi ","264.4"
"Mexico ","10,369.10"
"Malaysia ","6,229.20"
"Mozambique ","195.1"
"Namibia ","508.3"
"Niger ","289.3"
"Nigeria ","2,001.40"
"Nicaragua ","692.3"
"Netherlands ","92,961,654,669.00"
"Norway ","10,567,578,428.20"
"Nepal ","359.4"
"Nauru ","8.6"
"New Zealand ","3,309,027,173.80"
"Oman ","2,730.80"
"Panama ","2,728.10"
"Peru ","6,776.10"
"Papua New Guinea ","423.5"
"Philippines ","4,660.70"
"Pakistan ","3,105.80"
"Poland ","6,010,616,302.20"
"Palau ","17.6"
"Paraguay ","1,180.00"
"Qatar ","3,391.40"
"Romania ","11,536.60"
"Serbia ","2,113.20"
"Russia ","11,674.90"
"Rwanda ","208.8"
"Saudi Arabia ","25,927.50"
"Solomon Islands ","49"
"Seychelles ","57.5"
"Sudan ","558.5"
"Sweden ","16,944,202,636.50"
"Singapore ","7,347.60"
"Slovenia ","4,081,796,550.00"
"Slovakia ","6,967,458,810.00"
"Sierra Leone ","68.5"
"San Marino ","91.9"
"Senegal ","182"
"Somalia ","25.5"
"Suriname ","131"
"South Sudan ","14.9"
"Sao Tome and Principe ","10.7"
"El Salvador ","1,150.80"
"Syria ","697.4"
"Eswatini ","155"
"Chad ","71.5"
"Togo ","70"
"Thailand ","13,018.90"
"Tajikistan ","158"
"Timor-Leste ","40.9"
"Turkmenistan ","716.3"
"Tunisia ","1,742.00"
"Tonga ","14.1"
"Türkiye ","6,966,249,860.80"
"Trinidad and Tobago ","883.5"
"Tuvalu ","5.6"
"Tanzania ","839.2"
"Ukraine ","3,453.10"
"Uganda ","305"
"Uruguay ","4,233.80"
"Uzbekistan ","1,724.20"
"Saint Vincent and the Grenadines ","24.4"
"Venezuela ","218.2"
"Viet Nam ","7,452.90"
"Vanuatu ","18"
"Samoa ","36.2"
"Yemen ","183"
"South Africa ","15,210.00"
"Zambia ","446.9"
"Zimbabwe ","732.5"
